title,content,date_str,date,cleaned_content,category,most_similar_transformers
KP govt to form commission for ‘transparent’ probe into outbreak of violence at Bannu rally,"Govt spokesperson says situation in Bannu under control, security on high alert in ""sensitive areas""; residents stage sit-in.",2024-07-20T16:15:04+05:00,2024-07-20 16:15:04+05:00,govt spokesperson say situation bannu control security high alert sensitive area resident stage sit,NEGATIVE,"Govt spokesperson says situation in Bannu under control, security on high alert in ""sensitive areas""; residents stage sit-in."
Bangladesh army enforces curfew as student-led protests spiral,"Curfew to last until 10am on Sunday, at which point the government will decide the next course of action.",2024-07-20T16:08:15+05:00,2024-07-20 16:08:15+05:00,curfew last sunday point government decide next course action,NEGATIVE,"Curfew to last until 10am on Sunday, at which point the government will decide the next course of action."
"‘If it happened once, it will happen again’: Juggan Kazim recalls harrowing experience with domestic violence",The actor was in an abusive marriage for over a year and had a message for women — leave at the first sign of abuse.,2024-07-20T15:08:55+05:00,2024-07-20 15:08:55+05:00,actor abusive marriage year message woman leave first sign abuse,NEGATIVE,The actor was in an abusive marriage for over a year and had a message for women — leave at the first sign of abuse.
Resurgent Trump to reclaim campaign stage after shock shooting,"As Trump descends on Michigan, Biden's campaign is grappling with an internal Democratic Party revolt.",2024-07-20T13:47:32+05:00,2024-07-20 13:47:32+05:00,trump descends michigan biden campaign grappling internal democratic party revolt,NEGATIVE,"As Trump descends on Michigan, Biden's campaign is grappling with an internal Democratic Party revolt."
"Global tech outage eases after widespread disruption, new focus seen on risks","Outages will happen again until more contingencies and backups are built into networks, experts say.",2024-07-20T08:59:25+05:00,2024-07-20 08:59:25+05:00,outage happen contingency backup built network expert say,NEGATIVE,"Outages will happen again until more contingencies and backups are built into networks, experts say."
Banning any party Pakistan’s internal matter: FO,"Commentary from abroad is ""unwarranted and unacceptable interference in Pakistan's domestic affairs"", says spokesperson.",2024-07-20T08:17:38+05:00,2024-07-20 08:17:38+05:00,commentary abroad unwarranted unacceptable interference pakistan domestic affair say spokesperson,NEGATIVE,"Commentary from abroad is ""unwarranted and unacceptable interference in Pakistan's domestic affairs"", says spokesperson."
PML-N told to seek ‘democratic solution’ to its PTI problem,PPP suggests the Nawaz-led party think twice before pursuing its review petition in the SC against the reserved seats verdict.,2024-07-20T07:34:54+05:00,2024-07-20 07:34:54+05:00,ppp suggests nawaz led party think twice pursuing review petition sc reserved seat verdict,NEGATIVE,PPP suggests the Nawaz-led party think twice before pursuing its review petition in the SC against the reserved seats verdict.
Two retired judges ‘brought back’ to apex court as ad hoc members,Justice Sardar Tariq Masood’s appointment okayed by eight of nine JCP members; Justice Miankhel has already conveyed unwillingness to take up job.,2024-07-20T07:29:26+05:00,2024-07-20 07:29:26+05:00,justice sardar tariq masood appointment okayed eight nine jcp member justice miankhel already conveyed unwillingness take job,NEGATIVE,Justice Sardar Tariq Masood’s appointment okayed by eight of nine JCP members; Justice Miankhel has already conveyed unwillingness to take up job.
"Massive tech outage affects air traffic, communications worldwide","Glitch renders Microsoft cloud applications, services inaccessible, mainly in US, Australia, UK, India; PTA says fix has been provided by Crowdstrike.",2024-07-19T19:27:47+05:00,2024-07-19 19:27:47+05:00,glitch render microsoft cloud application service inaccessible mainly u australia uk india pta say fix provided crowdstrike,NEGATIVE,"Glitch renders Microsoft cloud applications, services inaccessible, mainly in US, Australia, UK, India; PTA says fix has been provided by Crowdstrike."
"Explainer: What caused Microsoft outage, Windows blue screens?","US cybersecurity company CrowdStrike says its widely used “Falcon Sensor” software caused Microsoft Windows to crash, display blue screens.",2024-07-19T17:55:02+05:00,2024-07-19 17:55:02+05:00,u cybersecurity company crowdstrike say widely used falcon sensor software caused microsoft window crash display blue screen,NEGATIVE,"US cybersecurity company CrowdStrike says its widely used “Falcon Sensor” software caused Microsoft Windows to crash, display blue screens."
